CustomerName,TransNumber,TransDate,PO,SalesOrder,Address,ItemNumber,Quantity,UnitPrice
HiTec Enterprises,@#$%^&,2016-01-02,# 000-890,110109185,Dagobah System 4537,XYZJ2HW9,1,199.98
AHiTec Enterprises,NULL,2016-01-03,# 000-891,110109186,ADagobah System 4537,AXYZJ2HW9,2,200.98
BHiTec Enterprises,NULL,2016-01-04,# 000-892,110109187,BDagobah System 4537,BXYZJ2HW9,3,201.98
CHiTec Enterprises,NULL,2016-01-05,# 000-893,110109188,CDagobah System 4537,CXYZJ2HW9,4,202.98
DHiTec Enterprises,NULL,2016-01-06,# 000-894,110109189,DDagobah System 4537,DXYZJ2HW9,5,203.98
EHiTec Enterprises,NULL,2016-01-07,# 000-895,110109190,EDagobah System 4537,EXYZJ2HW9,6,204.98
FHiTec Enterprises,NULL,2016-01-08,# 000-896,110109191,FDagobah System 4537,FXYZJ2HW9,7,205.98
GHiTec Enterprises,NULL,2016-01-09,# 000-897,110109192,GDagobah System 4537,GXYZJ2HW9,8,206.98
HHiTec Enterprises,NULL,2016-01-10,# 000-898,110109193,HDagobah System 4537,HXYZJ2HW9,9,207.98
IHiTec Enterprises,NULL,2016-01-11,# 000-899,110109194,IDagobah System 4537,IXYZJ2HW9,10,208.98
